name,price,benefit
Share-DAPQ,21.36,19.57
Share-OUGA,8.99,7.35
Share-BCVC,20.69,33.51
Share-BHXC,41.14,19.5
Share-NTBS,24.42,10.33
Share-WVBR,25.11,2.9
Share-GCEX,0.0,34.72
Share-RBJP,12.54,11.82
Share-QNMW,10.16,11.13
Share-FLLX,2.35,4.74
Share-MHMX,19.48,26.47
Share-DAWU,7.4,5.24
Share-ETOR,12.33,7.35
Share-GVVO,2.22,28.52
Share-SPAR,42.66,10.72
Share-DWQL,0.0,19.69
Share-IFCP,29.23,39.88
Share-WYAL,42.12,15.21
Share-OFZD,31.48,13.78
Share-KLCJ,13.75,18.04
Share-JNUW,30.61,17.58
Share-SHFZ,32.79,27.62
Share-CYLT,33.73,24.2
Share-JHLP,42.97,37.12
Share-DLGZ,34.71,33.88
Share-COUC,20.99,5.93
Share-ATAE,16.58,24.47
Share-FTJN,27.52,16.79
Share-WTPW,19.89,25.23
Share-HITN,0.67,33.49
Share-ADLV,18.9,4.72
Share-CWIL,46.2,1.19
Share-VBQT,25.73,35.61
Share-XQQA,26.78,9.35
Share-QSOQ,30.15,0.71
Share-WIWE,10.65,8.88
Share-FRBU,30.13,9.56
Share-IYKD,1.08,13.02
Share-EPCT,3.91,15.96
Share-JIZL,48.75,4.23
Share-ACQS,32.62,1.61
Share-YUTW,16.28,35.71
Share-YHEL,2.51,10.08
Share-HPSH,19.77,33.17
Share-NVXL,25.66,19.29
Share-ZFQR,21.74,38.74
Share-GYNX,30.96,38.27
Share-XXLC,45.12,14.14
Share-TLJJ,28.65,13.75
Share-RUPP,40.98,5.4
Share-SXZH,39.35,8.81
Share-DSHU,23.12,29.08
Share-OLUI,30.68,27.29
Share-FXZS,0.0,30.03
Share-SFMP,9.48,17.94
Share-VVDF,5.12,25.56
Share-YVUQ,39.98,18.8
Share-FIWE,42.56,9.34
Share-NKEK,19.01,25.8
Share-QEDS,3.78,13.74
Share-SWES,35.4,28.86
Share-XMLZ,29.5,24.46
Share-DRXI,37.42,38.05
Share-BKOT,22.9,29.4
Share-QDFN,4.26,20.6
Share-NLNW,8.95,8.85
Share-MKTB,33.42,17.53
Share-FEMI,15.24,36.37
Share-ZQDO,34.64,10.06
Share-CVOW,0.0,6.42
Share-GBMB,41.91,11.82
Share-ZUWA,17.84,32.2
Share-VUOS,20.14,33.88
Share-RTTA,27.78,3.26
Share-SQQK,22.58,32.51
Share-GROK,28.16,8.05
Share-RWWJ,46.3,0.0
Share-YPRZ,41.82,18.21
Share-EDPH,22.43,9.4
Share-LJDU,39.86,37.22
Share-JKRC,18.58,16.25
Share-QCRM,26.91,16.97
Share-PKXQ,41.39,9.75
Share-DBMG,37.07,38.12
Share-DFKO,29.28,24.73
Share-LOJD,22.47,19.19
Share-SFMQ,39.61,5.27
Share-TMYW,22.41,15.97
Share-WPYY,42.88,13.95
Share-EDBI,22.92,32.72
Share-WJZQ,16.28,1.25
Share-MGCH,25.72,22.28
Share-GFKM,24.37,36.16
Share-JLNT,19.74,9.74
Share-ZIZN,40.69,17.32
Share-FVVN,33.3,4.3
Share-TTVT,35.43,25.51
Share-EMOV,8.89,39.52
Share-ZWPI,21.5,39.02
Share-KKAD,14.66,32.19
Share-GMPX,30.86,7.59
Share-JHKR,18.3,25.25
Share-QIGP,35.59,22.63
Share-RUMG,34.34,7.42
Share-EPWT,9.54,8.07
Share-FJIK,28.32,34.49
Share-ETNQ,48.78,11.38
Share-OZCM,36.69,30.53
Share-KZLV,18.43,4.01
Share-ZLGB,39.41,36.67
Share-ZSPZ,22.3,18.9
Share-RQNB,20.12,26.73
Share-UNOG,43.84,18.65
Share-GZHU,33.02,24.56
Share-QPFG,9.52,32.39
Share-IVRI,27.35,38.76
Share-GHNY,28.45,17.58
Share-XABA,0.0,27.91
Share-MEPT,37.14,30.4
Share-OTBX,16.84,5.86
Share-ODFR,30.14,11.81
Share-QPRB,32.06,5.19
Share-QAIJ,31.42,33.11
Share-OKTW,24.15,24.26
Share-KYHO,37.05,29.07
Share-ONTS,14.17,15.48
Share-JWXV,47.28,7.33
Share-TJBP,28.5,28.54
Share-YHLS,6.11,5.79
Share-ZNIY,20.38,24.97
Share-XPZF,35.01,33.65
Share-ODXT,12.75,18.69
Share-VQHA,6.93,14.16
Share-IDWW,26.58,22.0
Share-TVOJ,9.39,23.34
Share-NMYP,0.0,11.43
Share-VNQN,1.17,18.51
Share-FVTC,25.28,23.61
Share-RSQE,45.64,26.22
Share-TCMQ,15.36,11.69
Share-UPTV,7.59,20.07
Share-LSFE,17.51,31.47
Share-TTLC,30.69,38.68
Share-WMOU,29.0,34.42
Share-QJZG,34.68,19.21
Share-PSZU,25.8,13.44
Share-GCAZ,48.58,3.23
Share-KZBL,28.99,39.14
Share-ZTDP,33.38,6.81
Share-XBIG,34.11,0.37
Share-MXMO,23.99,15.87
Share-OMOF,30.8,18.36
Share-NWSG,38.03,15.32
Share-LGSU,46.79,18.58
Share-GLFC,16.63,4.45
Share-PAXZ,7.22,0.82
Share-QSPX,0.6,35.15
Share-ZGFE,20.76,22.46
Share-WCNO,17.13,32.27
Share-BHYK,25.29,17.91
Share-VGFO,17.83,31.39
Share-FUUQ,32.33,3.69
Share-VEEM,9.47,15.79
Share-YVIJ,3.94,29.38
Share-ZEPQ,29.27,30.6
Share-EINI,20.13,13.01
Share-LRBZ,32.9,39.95
Share-NYHH,12.51,6.57
Share-CBNP,37.33,11.56
Share-JXTU,0.0,14.86
Share-ZOIW,15.06,25.6
Share-GSPE,48.99,11.65
Share-IZCN,31.52,12.4
Share-XLQI,31.33,32.56
Share-BDMW,48.51,19.39
Share-HCCK,20.58,3.21
Share-DWFW,15.17,16.53
Share-TDXX,30.93,14.84
Share-ZXSD,44.62,21.01
Share-MKZB,6.97,33.89
Share-XRZR,14.78,6.37
Share-XPEO,31.13,27.06
Share-QDBT,23.68,17.58
Share-CPNV,28.84,6.96
Share-QFPK,11.96,9.51
Share-CXDL,27.89,14.17
Share-MMFR,37.78,38.54
Share-MYPQ,14.1,6.55
Share-EZLR,17.59,19.71
Share-QJZD,47.58,22.72
Share-YDJK,25.79,12.25
Share-ZSRN,31.7,4.62
Share-IMGN,30.72,33.04
Share-HPQO,5.03,34.97
Share-KYUG,15.06,1.42
Share-YZOF,9.65,12.6
Share-KPMF,39.44,22.13
Share-RBTN,0.0,33.06
Share-CBTR,36.81,5.71
Share-JGEU,27.08,25.8
Share-SIRR,34.39,26.68
Share-TECI,30.9,12.34
Share-NFGO,38.33,36.59
Share-XJMO,9.39,39.98
Share-IFPU,35.66,20.67
Share-SNKS,16.75,39.04
Share-GKRC,19.28,27.34
Share-XZNX,34.59,3.14
Share-XRNJ,26.54,21.03
Share-OGGC,25.25,17.07
Share-TNHW,45.8,6.23
Share-YMIE,18.31,12.75
Share-LKBB,8.28,13.4
Share-IQED,33.12,34.59
Share-LFLL,15.17,9.49
Share-OJRZ,31.68,1.1
Share-IKCF,3.37,5.17
Share-RNBA,19.47,6.23
Share-YZFJ,34.75,11.89
Share-RGDB,23.95,24.47
Share-UEIV,33.41,30.66
Share-VQPV,20.9,21.01
Share-OHHU,40.43,38.01
Share-AXIX,36.82,20.38
Share-KOUD,35.09,35.93
Share-NALT,48.96,11.63
Share-NHKZ,30.69,0.98
Share-NKUT,34.4,24.93
Share-GPGM,47.4,19.93
Share-NFNZ,25.77,18.88
Share-NVDR,1.99,16.54
Share-NQIL,13.37,24.4
Share-VTWL,5.98,21.69
Share-JEQJ,25.73,23.34
Share-IXSO,19.7,28.29
Share-HGVJ,26.2,24.94
Share-AIQL,25.69,33.68
Share-KYXI,29.07,31.36
Share-SIVL,26.31,23.06
Share-GJMI,25.09,30.39
Share-OLCV,38.97,13.15
Share-SLZZ,14.87,29.76
Share-RDQM,30.61,1.66
Share-UOZD,21.17,30.86
Share-MOXN,31.29,1.79
Share-XKAM,47.01,38.1
Share-GGLB,31.58,35.12
Share-GEYL,24.68,18.23
Share-CIYW,20.93,16.45
Share-EIZH,27.73,14.51
Share-MPUS,30.96,27.33
Share-YUVN,15.09,13.82
Share-PEAZ,15.72,32.53
Share-MWDM,11.97,2.81
Share-LSZT,34.9,39.19
Share-CBNY,1.22,39.31
Share-HMVR,15.62,16.57
Share-LGHI,21.64,24.62
Share-VCWF,24.71,28.83
Share-CGUS,8.27,37.38
Share-REMR,26.84,32.94
Share-MXBC,15.26,13.02
Share-ZDHV,16.64,10.3
Share-AVUV,11.65,11.66
Share-WVTR,35.99,29.65
Share-MLVQ,36.23,8.13
Share-NCFR,25.4,3.06
Share-LFGX,25.04,9.84
Share-HQDA,25.28,7.95
Share-UMGT,5.97,1.28
Share-WITL,38.65,6.37
Share-XOBN,34.06,2.33
Share-AHYU,20.99,5.34
Share-YLHV,43.01,35.12
Share-BTKZ,17.55,36.72
Share-YEYV,32.67,2.59
Share-BGVK,18.27,9.33
Share-OFWH,30.0,11.97
Share-XKFR,42.85,13.22
Share-SNUW,44.48,8.52
Share-QWHX,45.37,31.39
Share-TZIJ,25.62,1.75
Share-ILTN,23.8,2.45
Share-TIRJ,29.33,12.78
Share-URMZ,34.99,38.89
Share-FZFY,33.03,3.98
Share-UTIJ,20.36,24.11
Share-PFEQ,26.95,12.54
Share-LNBX,32.12,24.04
Share-BORU,34.6,23.87
Share-QOYO,12.93,36.43
Share-BAPF,37.14,10.33
Share-RJIB,21.22,34.07
Share-ICKP,26.65,19.6
Share-DPMV,40.44,9.19
Share-EWGU,0.0,34.27
Share-MIOT,20.91,29.35
Share-GSDZ,44.29,11.37
Share-GOEX,38.41,20.84
Share-IHOT,10.47,24.64
Share-GIAJ,10.75,39.9
Share-OTFE,29.23,15.95
Share-HMCY,39.53,34.81
Share-UMCH,21.51,23.28
Share-QQBR,29.9,16.44
Share-WJZJ,38.96,26.3
Share-CESY,0.0,26.25
Share-OGLE,41.9,10.45
Share-MNMP,36.64,10.47
Share-KGQI,0.23,18.91
Share-JGPU,26.21,24.23
Share-LBSY,31.98,23.16
Share-EMCQ,6.37,20.46
Share-GHFD,13.56,22.81
Share-ESFE,13.5,4.44
Share-EJLA,25.25,22.63
Share-JJNV,38.71,14.41
Share-DIGK,32.32,11.87
Share-NYKV,15.38,30.95
Share-DDWA,40.89,11.73
Share-SLGB,9.77,21.69
Share-HYNU,47.39,8.61
Share-KZFS,9.73,10.84
Share-THCY,39.05,6.32
Share-SIZB,6.13,23.12
Share-TUQB,19.32,15.61
Share-NTQC,30.85,17.09
Share-HYMY,26.4,34.84
Share-VXCW,0.0,5.87
Share-JYBM,24.65,38.04
Share-VGRH,34.98,9.17
Share-PSVO,0.0,15.5
Share-NBSA,33.83,34.41
Share-OFJC,24.83,3.66
Share-JWVH,1.71,10.41
Share-PEQK,34.63,24.37
Share-WAQC,21.71,22.7
Share-ZEIM,31.25,16.18
Share-RPXU,13.75,26.64
Share-DTZY,35.96,19.34
Share-LHKD,34.45,16.51
Share-YRSC,47.0,38.3
Share-MZLJ,23.2,17.43
Share-YECK,32.66,29.22
Share-SZEE,36.55,23.72
Share-MTJQ,41.49,25.62
Share-PBXL,5.46,36.76
Share-BMTW,27.23,16.76
Share-YPHD,5.72,9.91
Share-TXHQ,8.97,36.74
Share-KAUS,42.96,29.36
Share-BFRJ,43.43,17.65
Share-NDNV,8.19,34.97
Share-GNLH,11.86,23.48
Share-WMQI,39.87,23.15
Share-ARZU,0.0,9.01
Share-MDAT,41.4,35.95
Share-QBZY,40.0,33.6
Share-YHNK,35.09,11.16
Share-DGFR,37.13,32.1
Share-FVCW,14.48,4.94
Share-JREW,9.93,15.05
Share-NOLN,22.65,1.2
Share-DSKL,38.68,20.93
Share-LHLG,42.98,28.34
Share-HJJZ,17.54,6.56
Share-URDO,32.8,12.91
Share-URKJ,28.32,36.08
Share-JSDR,21.66,27.61
Share-KMDP,32.23,22.12
Share-TGMY,44.93,2.02
Share-RCCP,2.09,35.32
Share-GQZA,5.86,12.81
Share-EQFF,18.75,6.05
Share-QQTU,33.19,39.6
Share-LWHP,32.0,29.24
Share-SRHN,26.36,34.08
Share-SORI,7.97,20.13
Share-TQVQ,4.41,11.48
Share-UIWH,30.41,24.69
Share-PJBF,17.09,19.7
Share-VOPM,46.57,10.32
Share-MSWM,14.48,2.91
Share-TPPD,22.77,15.55
Share-GDNC,45.82,28.36
Share-OELG,33.83,3.85
Share-HBXW,2.73,20.92
Share-UYOE,38.08,0.62
Share-VMPZ,24.08,10.5
Share-GMUB,36.8,17.7
Share-LCVT,6.06,1.05
Share-KRMG,15.22,31.68
Share-FYUX,3.68,19.51
Share-DSJF,24.72,2.94
Share-MCJZ,47.05,6.57
Share-STKT,0.28,7.79
Share-FSTB,27.28,12.6
Share-KQHE,21.63,1.37
Share-MXKO,0.0,23.17
Share-JEHF,21.92,1.56
Share-SKKC,24.87,39.49
Share-RPNK,46.37,3.24
Share-LZLU,12.12,35.54
Share-ICYR,27.21,5.0
Share-VOEF,32.38,5.72
Share-LSBJ,39.9,19.83
Share-HQIF,34.88,15.13
Share-TWXB,26.92,1.34
Share-HQHB,27.01,23.97
Share-PYSY,26.63,30.28
Share-JAGI,36.36,35.92
Share-EYGW,46.25,17.35
Share-OFCJ,10.69,34.05
Share-WGNW,38.88,24.0
Share-JNGS,-2.73,22.22
Share-IETC,0.0,33.17
Share-BPBC,26.55,15.5
Share-HIGA,5.34,31.01
Share-JEAI,31.06,29.46
Share-FNVN,9.03,14.25
Share-AQZD,39.1,32.4
Share-WBLU,39.29,3.32
Share-HJFD,8.61,16.15
Share-QSSK,29.01,20.95
Share-WQLH,6.75,1.55
Share-ALZI,9.61,28.14
Share-CNVT,23.78,33.52
Share-NJKY,30.73,37.82
Share-QIID,29.25,11.64
Share-CDSP,0.0,16.03
Share-BOZY,25.86,13.2
Share-OTLF,34.81,35.31
Share-TEET,43.2,37.93
Share-GWMA,0.0,18.22
Share-HHFE,25.9,23.95
Share-HERB,48.28,12.13
Share-KKQW,21.59,20.33
Share-FKJR,0.8,14.73
Share-LOKP,41.04,39.17
Share-TZKX,44.94,26.7
Share-DYJJ,21.05,21.2
Share-DRRI,27.64,20.85
Share-CFUF,34.05,7.67
Share-MUFT,23.38,19.1
Share-ZNKU,6.96,38.77
Share-TOHR,25.74,9.53
Share-ZSDE,15.11,39.88
Share-AAZC,36.78,18.71
Share-DSME,22.62,16.53
Share-PWHJ,39.65,8.51
Share-LUSV,19.87,12.06
Share-YXVL,26.62,22.79
Share-XLQD,39.13,14.95
Share-WIBX,20.58,25.98
Share-DXLL,0.0,28.11
Share-YYBB,39.15,0.35
Share-COVF,30.7,15.92
Share-GRSA,13.0,34.88
Share-CKIZ,0.0,33.06
Share-BXEV,6.7,33.58
Share-LSTK,14.89,32.98
Share-GLOV,39.92,9.35
Share-LYIZ,21.79,23.22
Share-HQWX,6.35,6.39
Share-KXYC,17.18,15.71
Share-ANXT,13.32,35.6
Share-OAOX,36.3,31.47
Share-LGWG,31.41,39.5
Share-VPPA,4.09,2.15
Share-USDU,0.0,33.49
Share-FJZC,20.64,30.34
Share-HCNK,13.03,23.56
Share-WFZZ,29.81,35.78
Share-DAQE,20.97,10.87
Share-FYKQ,41.06,38.75
Share-IPUP,26.11,30.68
Share-XGXY,28.39,36.2
Share-LVQC,41.57,16.98
Share-PXVO,15.37,20.19
Share-OVCD,31.92,10.1
Share-WPLI,34.64,39.91
Share-LJEO,40.87,25.07
Share-PISF,20.49,7.85
Share-ZQNA,28.59,12.42
Share-EMNG,25.21,4.2
Share-BJIF,10.56,31.36
Share-QGUP,4.45,20.44
Share-XUCG,12.25,22.1
Share-RPNX,25.11,4.58
Share-KCEB,38.89,6.34
Share-KFOQ,26.19,17.4
Share-FVNN,33.93,31.26
Share-XZOD,12.07,2.81
Share-GGKK,22.15,11.56
Share-JPQM,10.82,14.81
Share-WYJO,33.73,31.99
Share-IAFR,30.57,4.82
Share-MCBN,29.5,16.75
Share-UFQB,23.77,25.16
Share-ZHNO,24.32,21.42
Share-MGXU,13.5,38.27
Share-TUFN,10.37,22.89
Share-NVVV,37.44,7.52
Share-EPTB,21.32,23.65
Share-WSEH,0.0,12.43
Share-ARYE,17.62,14.41
Share-CGJM,17.21,39.3
Share-ZJWM,26.58,32.21
Share-XAZS,35.02,29.32
Share-CPWU,37.92,38.28
Share-UIMY,16.52,1.83
Share-UKXZ,35.19,7.27
Share-YMFX,24.46,32.96
Share-MLNK,45.74,27.66
Share-HJKI,9.7,0.3
Share-PEVC,17.51,1.87
Share-HDZP,3.48,2.41
Share-GUTR,16.5,15.85
Share-HPYJ,24.88,19.82
Share-EXKV,0.0,27.83
Share-TVCG,15.27,4.93
Share-DRZA,8.24,17.26
Share-CYLI,18.82,20.97
Share-LZSG,36.54,18.45
Share-FTYA,19.58,29.72
Share-QLMK,17.38,39.49
Share-OLCM,31.19,26.9
Share-WPCD,42.55,34.32
Share-OSGU,42.76,9.62
Share-BQLT,24.12,13.38
Share-RKNE,3.69,10.06
Share-VRIE,36.95,32.22
Share-HBGI,40.08,35.1
Share-VNFB,22.88,20.99
Share-QSQG,8.68,37.32
Share-CRZH,30.01,34.82
Share-CXGC,21.73,3.43
Share-ECAB,23.09,32.33
Share-PUDT,10.9,3.97
Share-KMEM,24.35,33.9
Share-TCIP,22.2,29.46
Share-CVPG,31.65,17.69
Share-XDUU,30.33,3.26
Share-VYWQ,33.85,30.44
Share-GLAO,26.86,26.56
Share-MAJJ,21.12,6.47
Share-NVBN,21.63,30.95
Share-XXBE,34.62,1.17
Share-QTKW,29.15,35.04
Share-YAFK,29.93,21.64
Share-MVRZ,31.33,7.6
Share-MLGM,0.01,18.86
Share-GUQG,36.18,24.94
Share-QQGZ,3.82,32.14
Share-VPMV,34.12,9.71
Share-PNTD,15.22,10.15
Share-MYPY,24.11,21.97
Share-QMVF,4.12,8.41
Share-UFXW,30.73,12.44
Share-MOVT,19.01,0.59
Share-RGMB,30.2,31.47
Share-YGKX,28.18,33.33
Share-QOGS,10.56,12.33
Share-EMDG,17.45,6.63
Share-SKUO,0.0,23.55
Share-NCIK,0.0,30.27
Share-OTAO,28.29,20.29
Share-CIWC,13.62,25.42
Share-DQRQ,36.38,10.85
Share-XPMV,28.12,37.48
Share-OBKH,12.62,27.8
Share-MLDY,22.61,21.33
Share-JCPU,24.77,10.79
Share-OPSM,0.0,26.28
Share-JHTJ,44.04,25.57
Share-UBRS,0.0,31.14
Share-XHQJ,11.4,21.7
Share-QDWQ,17.4,18.99
Share-OXSN,15.68,4.53
Share-VNXO,24.73,25.05
Share-EFWR,29.32,1.82
Share-GZUU,13.05,27.4
Share-LPGN,17.14,15.14
Share-VHYI,48.31,30.0
Share-FXBP,11.87,28.86
Share-PLPK,18.66,17.63
Share-OEDD,27.56,21.18
Share-BMIQ,25.2,34.16
Share-QINE,26.5,37.18
Share-ITTV,29.61,24.14
Share-QHTF,20.53,15.63
Share-VBED,5.32,15.37
Share-LTEB,37.59,0.25
Share-OBVY,29.01,2.54
Share-SHCI,14.79,36.82
Share-VUSQ,47.69,0.16
Share-BENA,23.31,6.15
Share-BEQY,27.96,37.91
Share-NQQC,38.86,10.16
Share-RNXT,5.14,28.45
Share-RIBY,15.67,35.99
Share-HBPQ,23.43,25.99
Share-BDME,25.61,0.62
Share-FPVA,19.72,18.67
Share-WVNM,24.33,8.21
Share-MTFR,17.85,29.93
Share-JGBU,21.05,9.0
Share-IXFI,45.04,17.55
Share-TMBL,19.74,8.61
Share-PTYE,29.58,8.13
Share-RDHG,37.82,0.45
Share-TDWK,29.0,14.57
Share-EVUW,4.44,39.22
Share-HTJD,46.96,28.99
Share-HHIZ,41.58,15.58
Share-XBDW,26.12,9.6
Share-PCHT,22.24,24.96
Share-MOVE,12.3,21.15
Share-HLYD,3.4,12.43
Share-HIAN,35.75,19.1
Share-YIOX,26.12,9.22
Share-GRUT,498.76,39.42
Share-UNHO,26.1,3.0
Share-FKJW,21.08,39.78
Share-WQMQ,16.35,34.43
Share-TFVA,37.16,37.69
Share-ARAY,21.53,13.63
Share-AHQO,28.18,15.38
Share-SNVL,20.19,38.04
Share-VUTC,22.42,10.32
Share-LAHI,38.29,16.15
Share-YOET,33.67,3.55
Share-LQHP,26.14,4.73
Share-YPGY,16.97,38.97
Share-NHRO,21.77,7.48
Share-GERI,26.26,25.32
Share-OQCA,27.85,22.51
Share-XRRF,11.13,13.29
Share-CVFX,31.44,14.22
Share-GXSF,37.2,37.15
Share-QUWM,29.64,30.36
Share-VONS,47.68,24.67
Share-UEZE,2.93,29.39
Share-KFOG,2.78,33.7
Share-UXBG,6.08,34.58
Share-LNMC,13.7,13.48
Share-WUWO,35.81,20.15
Share-WBWX,27.02,3.51
Share-SMUS,23.92,33.62
Share-NNDP,15.02,11.1
Share-GTQK,15.4,39.95
Share-KEUJ,34.5,17.23
Share-CVLS,2.65,7.14
Share-TGAD,19.06,18.58
Share-XZWG,10.25,33.0
Share-VLOZ,33.81,21.62
Share-JPRI,30.54,30.15
Share-AFAJ,29.12,34.82
Share-TRSF,36.6,20.63
Share-CBLS,30.38,10.95
Share-ZVEO,4.78,6.35
Share-BYJX,22.13,12.48
Share-RAOW,28.24,6.94
Share-AZDM,27.17,24.7
Share-IBVH,6.04,22.03
Share-JKZM,5.26,17.88
Share-QKDN,28.55,39.21
Share-QRBH,17.24,33.01
Share-HQVQ,17.1,11.65
Share-CFML,18.07,28.4
Share-AGPL,15.87,15.17
Share-ZORL,43.63,16.57
Share-DDRH,44.61,23.06
Share-NUZX,19.47,21.97
Share-AMYS,23.48,6.08
Share-KQDZ,16.02,38.42
Share-LQXO,35.36,13.93
Share-TNCT,37.36,18.23
Share-KFMR,11.23,28.03
Share-HZKM,0.0,37.07
Share-NZMA,36.61,22.14
Share-MJEL,17.19,15.54
Share-RBXY,37.09,31.65
Share-OZBN,5.03,28.04
Share-VQOW,20.31,37.12
Share-SCKQ,40.89,36.29
Share-WYIT,24.23,21.43
Share-QUQS,13.43,36.39
Share-QKFA,8.37,7.7
Share-EAIO,23.78,37.86
Share-FHZN,6.1,38.09
Share-QVQY,6.53,15.23
Share-BZBC,18.85,31.39
Share-SULM,29.26,16.44
Share-LYRY,21.56,16.08
Share-VNMM,0.0,16.96
Share-YRRO,12.15,16.35
Share-USSR,25.62,39.56
Share-AXIX,5.73,33.7
Share-OBYV,16.39,13.15
Share-DAVZ,21.92,25.21
Share-MTLR,16.49,39.97
Share-BXTP,4.77,33.47
Share-AQOR,25.45,35.47
Share-MKUX,48.55,4.8
Share-SBMG,43.85,24.85
Share-XOFE,33.55,11.84
Share-KTYA,39.18,25.4
Share-LKLG,0.0,36.41
Share-AZTU,5.43,22.32
Share-DUET,34.93,11.58
Share-AQKA,33.58,22.08
Share-LPDM,39.35,39.73
Share-GUCL,4.64,12.1
Share-EBOY,35.08,27.99
Share-ZPTK,11.7,17.6
Share-ZRZK,15.04,20.65
Share-ZRIV,0.0,7.19
Share-MVVG,16.81,12.18
Share-ROHB,23.75,30.7
Share-GNJC,29.25,3.29
Share-YVCE,41.5,24.53
Share-FMLL,29.57,26.31
Share-NUAX,24.42,35.44
Share-PJTN,0.0,20.73
Share-FQJZ,16.41,20.04
Share-HYQP,7.15,25.71
Share-NLPL,8.45,22.64
Share-IQMC,0.35,2.81
Share-SJIV,26.49,33.61
Share-OODL,5.61,0.6
Share-UBYY,30.3,20.12
Share-LPSQ,29.44,36.73
Share-RSRH,26.64,31.39
Share-WPTD,31.35,10.62
Share-QGXD,38.05,21.13
Share-BVQQ,9.87,20.53
Share-PNBE,27.3,10.85
Share-NYRP,23.91,14.05
Share-GSGQ,3.57,13.5
Share-QFOM,20.24,17.61
Share-DWPD,16.13,29.87
Share-IBSP,32.78,29.57
Share-EJXB,9.32,2.01
Share-UEZB,24.87,39.43
Share-QXLZ,38.15,23.07
Share-NWDK,33.94,5.75
Share-XPQB,18.49,26.41
Share-RNEE,15.93,7.05
Share-BMWW,3.65,31.45
Share-DLDY,2.62,4.29
